data,model,sum_epts,calibrate,include_clinical,accuracy,accuracy_std,f1,f1_std,log_loss,log_loss_std,geometric_mean,geometric_mean_std,roc_auc,roc_auc_std,aupr,aupr_std,sensitivity,sensitivity_std,specificity,specificity_std,brier,brier_std,mcc,mcc_std,
epts,logistic,,,,0.625,0.083,0.147,0.051,0.631,0.022,0.597,0.103,0.696,0.077,0.133,0.049,0.609,0.236,0.642,0.139,0.219,0.010,0.117,0.069,
epts,logistic,,,--include_clinical,0.626,0.082,0.149,0.060,0.682,0.005,0.584,0.142,0.701,0.081,0.135,0.049,0.588,0.255,0.664,0.145,0.244,0.002,0.119,0.074,
epts,logistic,,--calibrate,,0.619,0.071,0.141,0.056,0.632,0.077,0.568,0.126,0.696,0.077,0.133,0.049,0.655,0.259,0.584,0.200,0.214,0.028,0.114,0.064,
epts,logistic,,--calibrate,--include_clinical,0.606,0.079,0.140,0.060,0.647,0.090,0.543,0.141,0.701,0.081,0.135,0.049,0.600,0.291,0.613,0.215,0.217,0.031,0.105,0.074,
epts,logistic,--sum_epts,,,0.615,0.076,0.147,0.064,0.668,0.010,0.569,0.132,0.711,0.078,0.136,0.048,0.607,0.253,0.624,0.182,0.238,0.005,0.113,0.074,
epts,logistic,--sum_epts,,--include_clinical,0.625,0.080,0.155,0.064,0.686,0.003,0.580,0.134,0.714,0.081,0.133,0.047,0.570,0.253,0.680,0.163,0.246,0.001,0.123,0.076,
epts,logistic,--sum_epts,--calibrate,,0.602,0.073,0.136,0.066,0.652,0.085,0.521,0.153,0.711,0.078,0.136,0.048,0.607,0.311,0.596,0.240,0.221,0.030,0.102,0.075,
epts,logistic,--sum_epts,--calibrate,--include_clinical,0.606,0.073,0.145,0.068,0.649,0.085,0.536,0.143,0.714,0.081,0.133,0.047,0.546,0.288,0.666,0.223,0.219,0.030,0.109,0.077,
epts,random_forest,,,,0.602,0.089,0.139,0.058,0.567,0.033,0.552,0.148,0.671,0.079,0.112,0.045,0.486,0.251,0.719,0.118,0.192,0.015,0.098,0.077,
epts,random_forest,,,--include_clinical,0.581,0.082,0.125,0.060,0.571,0.039,0.503,0.185,0.658,0.074,0.106,0.040,0.413,0.238,0.749,0.119,0.193,0.018,0.076,0.075,
epts,random_forest,,--calibrate,,0.600,0.081,0.135,0.054,0.576,0.062,0.546,0.129,0.671,0.079,0.112,0.045,0.566,0.277,0.634,0.195,0.200,0.026,0.096,0.071,
epts,random_forest,,--calibrate,--include_clinical,0.592,0.077,0.123,0.064,0.591,0.067,0.502,0.194,0.658,0.074,0.106,0.040,0.502,0.305,0.682,0.193,0.205,0.028,0.086,0.071,
epts,random_forest,--sum_epts,,,0.575,0.086,0.131,0.079,0.449,0.054,0.451,0.216,0.687,0.084,0.153,0.084,0.316,0.219,0.834,0.094,0.148,0.023,0.084,0.096,
epts,random_forest,--sum_epts,,--include_clinical,0.544,0.088,0.099,0.069,0.408,0.056,0.359,0.232,0.655,0.094,0.118,0.057,0.223,0.216,0.866,0.074,0.132,0.024,0.046,0.089,
epts,random_forest,--sum_epts,--calibrate,,0.598,0.083,0.143,0.067,0.500,0.084,0.525,0.171,0.687,0.084,0.153,0.084,0.457,0.260,0.740,0.160,0.168,0.034,0.103,0.088,
epts,random_forest,--sum_epts,--calibrate,--include_clinical,0.570,0.090,0.115,0.060,0.484,0.090,0.448,0.224,0.655,0.094,0.118,0.057,0.381,0.278,0.760,0.181,0.158,0.035,0.065,0.083,
epts,lgbm,,,,0.538,0.070,0.103,0.051,0.655,0.009,0.448,0.177,0.601,0.073,0.085,0.033,0.332,0.199,0.744,0.103,0.231,0.004,0.036,0.063,
epts,lgbm,,,--include_clinical,0.504,0.050,0.048,0.075,0.474,0.113,0.134,0.199,0.537,0.095,0.083,0.036,0.062,0.109,0.946,0.035,0.097,0.020,0.006,0.081,
epts,lgbm,,--calibrate,,0.544,0.076,0.107,0.060,0.563,0.058,0.453,0.199,0.601,0.073,0.085,0.033,0.414,0.251,0.675,0.171,0.193,0.025,0.043,0.073,
